class_id,asvs_id,owasp_ref,status,notes
auth,ASVS-V2-2.1.1,A07:2021,COVERED,mapped in fixture_auth_target._map_controls
auth,ASVS-V2-2.2.1,A07:2021,COVERED,mapped in fixture_auth_target._map_controls
ssrf,ASVS-V10-10.3.1,A10:2021,COVERED,mapped in fixture_ssrf_target._map_controls
ssrf,ASVS-V10-10.3.2,A10:2021,COVERED,mapped in fixture_ssrf_target._map_controls
deserialization,ASVS-V5-5.5.1,A08:2021,COVERED,mapped in fixture_deserialization_target._map_controls
deserialization,ASVS-V5-5.5.3,A08:2021,COVERED,mapped in fixture_deserialization_target._map_controls
supply_chain,ASVS-V10-10.2.1,A08:2021,COVERED,mapped in fixture_supply_chain_target._map_controls
supply_chain,ASVS-V10-10.2.4,A08:2021,COVERED,mapped in fixture_supply_chain_target._map_controls
iam,ASVS-V4-4.1.1,A01:2021,COVERED,mapped in fixture_iam_target._map_controls
iam,ASVS-V4-4.1.3,A01:2021,COVERED,mapped in fixture_iam_target._map_controls
